open,high,low,close,volume
1126.18,1126.29,1125.59,1126.29,16.9907
1126.29,1126.91,1126.29,1126.87,5.3157
1126.87,1126.95,1126.73,1126.74,10.2124
1126.74,1126.84,1125.61,1125.71,16.8271
1125.71,1125.93,1125.7,1125.7,11.8987
1125.7,1125.71,1125.41,1125.45,11.1735
1125.45,1125.53,1125.09,1125.45,9.4633
1125.45,1125.45,1125.44,1125.45,2.7852
1125.45,1125.61,1125.15,1125.16,5.7581
1125.16,1125.24,1124.58,1124.62,39.0899
1124.62,1124.62,1124.19,1124.32,13.7998
1124.32,1124.32,1123.91,1123.93,24.0212
1123.93,1124.09,1123.11,1123.68,47.947
1123.68,1124.6,1123.38,1124.37,10.3444
1124.37,1124.37,1123.64,1123.79,6.1334
1123.79,1124.19,1123.51,1123.76,12.4009
1123.76,1123.91,1123.75,1123.85,4.3665
1123.85,1124.07,1123.73,1124.05,6.5509
1124.05,1124.24,1123.95,1124.06,11.5224
1124.06,1124.29,1124.05,1124.05,10.9049
1124.05,1124.86,1124.05,1124.69,10.1716
1124.69,1125.47,1124.56,1125.47,8.0801
1125.47,1126.04,1125.45,1125.65,29.2417
1125.65,1126.06,1125.45,1126.06,10.7298
1126.06,1126.12,1126.05,1126.11,5.0884
1126.11,1126.12,1125.46,1125.73,15.8071
1125.73,1126.21,1125.73,1126.21,5.3721
1126.21,1126.48,1125.95,1125.97,33.6837
1125.97,1125.97,1125.95,1125.96,4.1804
1125.96,1126.17,1125.73,1126.05,16.5403
1126.05,1126.05,1125.43,1125.53,8.4408
1125.53,1125.95,1125.53,1125.74,12.9893
1125.74,1125.74,1125.43,1125.46,14.9471
1125.46,1125.62,1125.45,1125.62,4.6059
1125.62,1126.65,1125.62,1126.13,28.8096
1126.13,1126.44,1126.13,1126.22,4.2022
1126.22,1126.23,1124.74,1125.09,15.0592
1125.09,1125.09,1124.87,1124.9,1.9353
1124.9,1125.2,1124.88,1124.89,3.0598
1124.89,1125.21,1124.35,1124.36,11.8377
1124.36,1124.64,1124.35,1124.64,4.8563
1124.64,1124.67,1124.22,1124.31,7.5813
1124.31,1124.7,1124.31,1124.6,10.9843
1124.6,1124.77,1124.6,1124.72,3.9926
1124.72,1125.28,1124.72,1125.27,6.6397
1125.27,1125.63,1125.25,1125.43,7.5891
1125.43,1125.45,1124.83,1124.84,7.8737
1124.84,1125.11,1124.76,1125.09,11.4062
1125.09,1125.35,1125.08,1125.35,5.9789
1125.35,1125.35,1124.6,1124.6,15.3626
1124.6,1125,1124.53,1124.83,12.5948
1124.83,1124.91,1124.49,1124.52,4.7409
1124.52,1124.99,1124.51,1124.98,7.1743
1124.98,1125.27,1124.97,1125.25,3.4668
1125.25,1125.25,1124.72,1124.99,18.2099
1124.99,1125.06,1124.98,1125.03,8.2074
1125.03,1125.34,1125.02,1125.34,7.991
1125.34,1125.78,1125.33,1125.74,3.6038
1125.74,1125.98,1125.72,1125.73,14.2157
1125.73,1125.73,1125.71,1125.72,5.9707
